Sex,Age,NativeCountry,WorkClass,EducationNumber,MaritalStatus,Occupation,Relationship,CapitalGain,CapitalLoss,HoursPerWeek,Class
B,D,B,C,D,C,C,C,N,N,D,B
FIXED,INC,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE,PREDICT
0,39,0,6,13,5,1,1,2174,0,40,0
0,50,0,5,13,3,4,0,0,0,13,0
0,38,0,3,9,1,6,1,0,0,40,0
0,53,0,3,7,3,6,0,0,0,40,0
1,28,1,3,13,3,10,5,0,0,40,0
1,37,0,3,14,3,4,5,0,0,40,0
1,49,1,3,5,4,8,1,0,0,16,0
0,52,0,5,9,3,4,0,0,0,45,1
1,31,0,3,14,5,10,1,14084,0,50,1
0,42,0,3,13,3,4,0,5178,0,40,1
0,37,0,3,10,3,4,0,0,0,80,1
0,30,1,6,13,3,10,0,0,0,40,1
1,23,0,3,13,5,1,3,0,0,30,0
0,32,0,3,12,5,12,1,0,0,50,0
0,34,1,3,4,3,14,0,0,0,45,0
0,25,0,5,9,5,5,3,0,0,35,0
0,32,0,3,9,5,7,4,0,0,40,0
0,38,0,3,7,3,12,0,0,0,50,0
1,43,0,5,14,1,4,4,0,0,45,1
0,40,0,3,16,3,10,0,0,0,60,1
1,54,0,3,9,6,8,4,0,0,20,0
0,35,0,1,5,3,5,0,0,0,40,0
0,43,0,3,7,3,14,0,0,2042,40,0
1,59,0,3,9,1,13,4,0,0,40,0
0,56,0,2,13,3,13,0,0,0,40,1
0,19,0,3,9,5,3,3,0,0,40,0
0,39,0,3,9,1,4,1,0,0,80,0
0,49,0,3,9,3,3,0,0,0,40,0
0,23,0,2,12,5,11,1,0,0,52,0
0,20,0,3,10,5,12,3,0,0,44,0
0,45,0,3,13,1,4,3,0,1408,40,0
0,30,0,1,10,3,1,3,0,0,40,0
0,22,0,6,10,3,8,0,0,0,15,0
0,48,1,3,7,5,7,4,0,0,40,0
0,21,0,3,10,5,7,3,0,0,40,0
1,19,0,3,9,2,1,5,0,0,25,0
0,48,0,5,12,3,10,0,0,0,40,0
0,31,0,3,5,3,7,0,0,0,43,0
0,53,0,5,13,3,10,0,0,0,40,0
0,24,0,3,13,3,13,0,0,0,50,0
1,49,0,3,9,6,1,4,0,0,40,0
0,25,0,3,9,5,6,1,0,0,35,0
0,57,0,1,13,3,10,0,0,0,40,1
0,53,0,3,9,3,7,0,0,0,38,0
1,44,0,3,14,1,4,4,0,0,40,0
0,41,0,6,11,3,3,0,0,0,40,0
0,29,0,3,11,5,10,1,0,0,43,0
1,25,0,3,10,3,4,5,0,0,40,0
